"","text","score","klasifikasi"
"335","back home from work showered amp in terrible pain   my manager also warned me for sitting despite the fact that i am ",-2,"Negatif"
"352","lost work time for people working from home is an issue members of local government can t fully d ",-1,"Negatif"
"388","it s so tiring and mentally draining feeling fearful of your parents health during this pandemic i can t help but ",-3,"Negatif"
"390","i m not ignorant to the fact that a lot of people rely on schools for daycare and that it s ridicul ",-1,"Negatif"
"416","i want a job closer to home bc i hate sitting in traffic after work just keeps me from seeing my daughter amp i hate ",-1,"Negatif"
"427","since i been home from work i been dozing off a bihhh tired it s a wrap after i eat amp smoke a blunt",-2,"Negatif"
"432","contract tracing has failed to identify the cause of over of cases clos ",-1,"Negatif"
"442","ponder logic  u can t travel to from a country which has lower  infections  than us care home staff go to from own homes ",-1,"Negatif"
"448","picture this you re in your early  s it fucking sucks outside but you re alive on your drive home f ",-2,"Negatif"
"452","i am tired as shit just got home from work i don t even want to think about today",-1,"Negatif"
"455","perfume and hold me for illegal boarding is a sorry way to hold cumin because hoe from home said come here work for ",-1,"Negatif"
"460","didn t get anything done today because i m having a bad reaction to my second covid vaccination nothing serious ",-1,"Negatif"
"498","my poor roommate had his first snow day today and got stuck coming home from work       ",-1,"Negatif"
"504","yeah i have to drive a crazy busy road when workin ",-1,"Negatif"
"512","felt sick all day so i stayed home from work apparently allergen numbers are just crazy high though so hopefully just that",-1,"Negatif"
"519","i m and on an immunosuppressant drug that s returned me from completely unable to do anything to a ",-1,"Negatif"
"524","we launched a website a home for our campaign to tackle systemic racism in the charity sector and a place to host ",-1,"Negatif"
"538","have you ever feel so frustrated stressed out sick annoyed mad sad tired all in between and you end up cryin ",-6,"Negatif"
"550","shout out to for price gouging which is illegal in maryland during a time when people are home and onli ",-1,"Negatif"
"557","i hate when mfs wanna shower when i get home from work or worse after this workout     ",-1,"Negatif"
"563","ugh    it was a nightmare never even made it home that evening from work went off the road twic ",-1,"Negatif"
"590","i hate lazy niggas at work like ilnigga i m as tired as you are i want to go home as bad as you do my stomach hur ",-2,"Negatif"
"593","me going home early from work because i feel terrible    want cry",-1,"Negatif"
"606","have you struggled with home schooling you re not alone      a primary school headteacher from wrote this ",-1,"Negatif"
"633","it s absolutely stupid how half of you didn t even and still don t have a f king clue and just lie ",-2,"Negatif"
"635","cps officials insist that in person learning is a necessary option but the teachers union wants    reopening delayed until staff ",-1,"Negatif"
"640","and you need to stop in its track the biden stepped up basis to steal my parent s home from under our ",-1,"Negatif"
"650","shes ok very tired but it s been really awful for some and your partner it s a nightmare people don t ",-3,"Negatif"
"661","i ve work for au bon pain and the shit from the bakery we either through out or took home i was alw ",-1,"Negatif"
"667","funny i have the same crush i work from home too   ",-1,"Negatif"
"690","thinking ab the fact that when i came home from work and just broke down that she let me cuddle her until i fell asleep before she left me",-1,"Negatif"
"726","and if you think building new offices is daft this is why you re wrong and why we will still need them",-1,"Negatif"
"729","cps officials insist that in person learning is a necessary option but the teachers union wants    reopening delay ",-1,"Negatif"
"760","has the kihno bearing dhl driver arrived yet    the suspense is killing me   i got the notif they arrived i m abou ",-1,"Negatif"
"761","do you struggle with allocating chores in your home find out how one mom went from the typical sticker chart to a method that ",-1,"Negatif"
