"","text","score","klasifikasi"
"387","only got home from work nowww   ",1,"Positif"
"391","work from home homeschool   ",1,"Positif"
"392","impressed with the work local athletic directors and leadership teams have done to get our  fan less  games live st ",2,"Positif"
"393","this isn t as neat as i wanted it to be but i m otherwise pretty happy with the setup i ve installed at ",3,"Positif"
"394","they still got the capitol fenced off and i can t ride down independence to go home from work",1,"Positif"
"395","i work for one of the largest canadian companies in the financial sector and i don t need to spe ",1,"Positif"
"396","i came home from work dinner was cooked my spliff rolled my bath was set my face products and mirror were in my usual ni ",1,"Positif"
"397","fr even especially with living in an apartment it s just like moving really far when this lease is ove ",1,"Positif"
"398","my cat can be such a little shit i wanted to take like an hour nap after i got home from work and ate but she kept ",1,"Positif"
"400","i think most office tenants are going back with the flexibility to work from home days per week",2,"Positif"
"401","the victorious work from home business will need your physical shape find out about this type of fitness approaches",2,"Positif"
"402","stay home one day from work my mom be roasting my ass about everything   my weight  college  the gym  how i can t c ",1,"Positif"
"406","i know the left leaning work from home wonks are all really proud of themselves for supporting a minimum wage i ",3,"Positif"
"407"," i ve been providing free workouts on my instagram  is not reason to travel internationally  for work  du ",2,"Positif"
"408","yet millions and millions of people go to work every single day that dont have the privilege to work fro ",3,"Positif"
"409","yes my children have been going full times days a week since august in the awesome state of s ",1,"Positif"
"410","i have stayed home since th to this th   am thankful that there were foods and supplies coming i still have tv ",1,"Positif"
"412","soooo its gunna snow tomm amp i know we all work from home now but like can we get a snow day still or nahhh",2,"Positif"
"414","i didn t want to buy the truth or drink game bc i didn t think i d use it enough so he handmade the whole game and ",1,"Positif"
"415","i have masters degree from a us university yrs work exp months ago i was working on cutting edge tech on a dream pr ",2,"Positif"
"417","this week i am working at home but from tuesday i go back to work for days a week and let s see when i can return full time to work",2,"Positif"
"418","not sure why it s not posted i rely on the ferry system to get to and come home from work i ha ",1,"Positif"
"419","home from work  time to relax  she in the other room cooking   she never has to know        onlyfans emmazing",1,"Positif"
"420","home monitoring is being used to help those with mild cognitive impairment stay in their homes safely amp for longer for ",1,"Positif"
"421","how do people work a full day and then go home to a family like you re tired from a long day you have to cook cl ",1,"Positif"
"422","excellent hopefully i can work from home til it s completed",2,"Positif"
"423","these items make great gifts for friends who love writing or who work from home or for yourself   read the full article gif ",3,"Positif"
"424","take the wheel as a automotive claims adjuster hr benefits work from home in fl learn more about ",2,"Positif"
"425","and hey times are tough for a lot of people but that s months of work in a pandemic in a job that doesn t let ",2,"Positif"
"426","darn omw home from work so ill be missing this one",1,"Positif"
"428","malaysia hire workers from oversea under the harshest employment rules they are made to work hrs a day they ea ",1,"Positif"
"430","i now thinking bout all the single parent households that won t be able to work from home",2,"Positif"
"431","some kids do follow quarantine and do school work at home away from friends others here dont care they go out on ",1,"Positif"
"433","this is a great idea especially for those having to work from home thanks lauren   ",2,"Positif"
"435","what a nice surprise someone cleaned my driveway before i got home from work tonight thank you so much also a ni ",3,"Positif"
"436","desktop virtualization is trending in the work from home world but could also present network capacity challenges  ",1,"Positif"
"438","i literally played this on the way home from work",1,"Positif"
"439","your welcome to wait for something better tell that to the exhausted medic ",1,"Positif"
"440","these items make great gifts for friends who love writing or who work from home or for yourself   read the full art ",3,"Positif"
"441","virtual events planner work from home coordinator and other careers that a work expert predicts will be in demand this deca ",2,"Positif"
"443","still of young gamers who work from home   ",1,"Positif"
"444","lol me seeing everglow by myself days before my work went to indefinite work from home",2,"Positif"
"445","finally got the tracking info my dpd guy is usually here around pm it ll be waiting on me getting home from work",1,"Positif"
"446","first thing i do when i get home from work is get out them damn uniform clothes then take me a hot bath roll me blunts  ",1,"Positif"
"451","does anyone have some recs on a good office chair to work in from home i need something comfy     ",3,"Positif"
"453","there may also be a good number of office jobs that continue at least in part as work from home",2,"Positif"
"457","act fast new text amp email work from home job",2,"Positif"
"458","my wife and her manager work in the hr deptt of a f ",1,"Positif"
"459","helpful article from the law society in my email inbox today on working from home with children apparently you have to tell ",1,"Positif"
"461","when you rush home from work to take a nice relaxing blistering hot shower amp someone else used up all the doggone hot water     ",3,"Positif"
"462","that feeling you get when you get home from work and stretch out on your bed and take your socks off it one of thee ",1,"Positif"
"464","courts encouraging ppl to work from home and take off an item that they ll actually be paying of the cash pric ",2,"Positif"
"465","our library can get microfilm for us there are a few portable readers but they re usually always checked ",1,"Positif"
"466","welcome to the twilight zone where students are told to stay home and all k and cluster teachers are told to w ",1,"Positif"
"467","now that i m home from work i can finally watch the reveal for real",1,"Positif"
"468","im thankful asf i can work from home",2,"Positif"
"469","senior required  competitive salary    we offer a substantial and achievable bonus the opportunity to wo ",3,"Positif"
"471","youre quite lucky that you can afford to just go without an income coming in and stay home a ",2,"Positif"
"473","i was enjoying the view of mt baker on my way home from work",2,"Positif"
"474","my moms work is stupid my mom cant work from home even tho she has dr notes one from my bro heart dr and one from ",1,"Positif"
"475","i remember as a kid i would take a metal panel my dad brought home from work ",1,"Positif"
"476","is awesome as always   my dasher on the other hand    didn t follow my instructions and ",1,"Positif"
"477","today s work from home outfit   bespoke light gray flannel three piece suit   white blue striped ralph lauren win ",2,"Positif"
"478","oh the co op thing lol so it s a work from home thing",1,"Positif"
"479","hoping for a snow day like they wouldn t make me work from home instead   ",2,"Positif"
"480","i got home from work and did it",1,"Positif"
"482","job especially the medical and care workers the gov has stepped up to support all many can work effective ",3,"Positif"
"484","microsoft shares surge to new high on work from home revenue boost",2,"Positif"
"485","went to work with one of my videos sitting at around views and likes get home from work to see it at over  ",3,"Positif"
"488","i really walked home from work last night hr and mins and felt super good about it so guess what i did today  ",3,"Positif"
"489","exactly people would be willing to commute further if they work from hom ",2,"Positif"
"490","i think she changed shirts from coming home from work",1,"Positif"
"491","i m a writer and i can t even form a functional sentence in my current work after months of being ",1,"Positif"
"492","did something different with my hair today and i felt cute i come home from work and my husband says  god what hap ",2,"Positif"
"493","come home from work and get right to work on my laptop by any means for this degree       ",3,"Positif"
"495","they will send you out to work your kids to school in but they work from home whilst others mix with s",2,"Positif"
"497","we unlocked a new work from home with your partner achievement today the significant other overheard a conversatio ",3,"Positif"
"500","finally i made it home from work",1,"Positif"
"502","open po nct make a wish from home s love work it md postcard photoset smartphone deco trading card lugg ",2,"Positif"
"503","counting down the days till i get to work from home   ",1,"Positif"
"505","got my first shot today i am a healthcare worker who cannot work from home so bet mn i qualify       ",2,"Positif"
"506","you ever come home from work and get to baked that you pull off your zip up hoodie asking for a friend",1,"Positif"
"507","when you have no face mask cream left at home a snapchat filter is the next best thing right nope lol     this gal ",2,"Positif"
"508","my coworker said she s gonna buy flowers for her wife on the way home from work and i just         ",1,"Positif"
"511","i want another job any work from home jobs where i can travel with a laptop i have one now but it s two deskt ",1,"Positif"
"513","moved to the front of the line and told there are no vaccines available  also it is completely in ",1,"Positif"
"514","just got home from work and i ll be live at pm cst",1,"Positif"
"515","looks like i m walking home from work",2,"Positif"
"516","nss open preorder nct make a wish from home s love work it md postcard photoset smartphone deco trading c ",2,"Positif"
"517","i think in season two the updates will be bigger plus rare are having to work from home ",1,"Positif"
"520","ok nd day of ring fit adventure my legs are s o r e thank god i work from home",2,"Positif"
"522","another safe drive home from work drive safe man i watched people die today",2,"Positif"
"526","ordered grubhub forgot to change the address from work to home used to option to message driver hope he gets   ",1,"Positif"
"529","new suburban homes in the area built with a separate office to work from home pretty smart that price though",3,"Positif"
"530","nct make a wish from home s love work it md postcard photoset smartphone deco trading card luggage sticke ",2,"Positif"
"531","since work from home shows no sign of going away soon we could all use some supercharging tips to make the most of ",1,"Positif"
"532","from home s love work it",2,"Positif"
