"","text","score"
"149","hi i just got home from work",1
"150","i hope the story that the media tells today re s photo op visit to the airport is that he s launched an expensi ",0
"151","anyone do some audio transcription work if so would you be willing to share your experience looking for work from home options",3
"152","this goes past teachers all the people who have been working from home never want to go back to work i ",1
"153","helpful article from the law society in my email inbox today on working from home with children apparently you have to tell ",1
"154","driving home from work be a mission now   ",1
"155","omfg ok ok ok i ll work on it when i get home from work tonight",2
"156","i m thankful that i m able to work from home anytime needed             it s a blessing     you can too     contact me ",3
"157","she was forced to wait for her wife to get home from work when she was",1
"158","if you need a work from home read the thread below for an extra income stream  wear a mask     ",1
"159","this was on my way home from work around ish it s not gonna stop until late tomorrow morning wish me luck ",2
"160","working from home feels like i m doing some shite cha cha slide   sliiiiide out your bed sliiiiide down the stairs ",1
"161","i didn t know that amp thanks for telling me but it still doesn t seem fair i work ",2
"162","i used to beg to go home from work because i was vomiting nonstop and on the verge of blacking out from pain and my ",-2
"163","everyday i look forward to the drive home from work just to call tori and see how her day was",1
"164","i want work from home to be a norm for all non customer facing jobs and any job where customer interaction is by p ",1
"165","and then i said the five words every man wants to hear when their woman gets home from work i m making dinner",1
"166","you must think i m home from work already   ",1
"167","surprisingly one of the benefits of working from home has been an increased appreciation for the office  ",1
"168","getting home from work and changing straight into sweats gt gt gt",1
"169","i like hbo max but they need to work on the interface bc it doesn t save the shows you watch so that you can quickly acc ",2
"170","i genuinely think their prioritization should be healthcare workers elderly in grouped homing situations high ri ",0
"171","how ashlee anderson turned frustration into and more free time  ",0
"172","don t miss your chance the military spousal employment network msen is hosting a virtual career fair focused sol ",0
"173","imitate any of these robust how to drive massive traffic solutions to create never ending possible leads to enthusi ",2
"174","i m looking forward to watching the whole show tonight when i get home from work      you chaps are always great to w ",2
"175","what did you do also why are you wearing pants don t we all just work from home in gym shorts these days",1
"176","if you need a work from home read the thread below for an extra income stream  wear a mask   ",1
"177","running home from work to watch the tell all like",2
"178","hey im home from work how is everyone",1
"179","i so wish i drank on days like these hopefully my anxiety can rest now that i ve gone where i needed and made the ",0
"180","just to be clear for anyone reading the sitting was only a problem because it aggravated my pain  ",-1
"181","was so sick of being tired of coming home from work and trying to pull up an illegal stream i just straight up bou ",-2
"182","y all stay home from work when it snows but don t stay away from the club in a pandemic",1
"183","so when i worked at bojangles we where allowed not really allowed to take leftovers home a guy at ",1
"184","that cannot be peak service time  i work in burnside and cannot get home in a reasonable time  it ",2
"185","morning race i just got home from work so it is evening for me   ",1
"186","what a relief si dang gets to remain at home with us but the fight is far from over as si and many immigrants amp re ",1
"187","none made pho for dinner i can t wait to get home from work   ",1
"188","i just got home from work went to the basement and crash on the couch relax time don t forget to say hello to mr ",0
"189","i work from home for the remainder of the week   ",1
"190","if i buy the live stream can i watch it from the beginning when i get home from work about pm cheers for any info   ",1
"191","true during the worst yrs of my pain sitting was my most painful activity i fought for months to ",-3
"192","what do you expect when you get home from work for the schaefer family it is the comfort and peace that provides a decorat ",3
"193","all of my employees were keen to get back into the office after both auckland lockdowns despite us ",1
"194","the only reason i want a boyfriend is so that someone can have my dinner ready for me when i get home from work bc ",2
"195","    want to see people judges for their right to a home next week us either   barring action from president judge ",1
"196","home from a long days work  triple soap wash shower exfoliation  double body cream lotion  single spliff nice p ",2
"197","barclays ceo jess stayley in april    the notion of putting people in a building may be a thing of the p ",0
"198","hr a lot of employees live in an appartement and can t find a quiet place to work from home remote work is not the solu ",3
"199","when will and reckon with the fact that remote learning means moms disproportionately have lost ",-1
"200","one of my neighbours died of covid yesterday until he and his wife caught it he had no major heal ",0
"201","the farmington river it was on my way home from work",1
"202","much of my time in portland has been living in my bus and i m amazed at the convenie ",1
"203","card du jour is ruled by the queen of pentacles from the sun and moon tarot deck by vanessa decort leverage the e ",1
"204","anyone else work from home and have family members that get bent out of shape if you don t let them interrupt you  ",-1
"205","stream will start at tonight just got home from work sorry guys",0
"206","ann arbor is one of the top best places to live if you work from home according to and we would have to agree  ",3
"207","when i got home this morning at am from work a yt man was doing push up on the sidewalk me and the driver lau ",1
"208","lockdown is frustrating and ruins a lot of plans but i m tomorrow and i m going to get into my nice car go to ",-1
"209","back home from work      predicted it   ",1
"210","i just started crying while driving home from work for no reason whatsoever how s your tuesday going   ",1
"211","from rooming with a front line worker to living in a multi generational home no pandemic experience is the same lovely w ",1
"212","what is your job you work from home",1
"213","every day when i come home from work i m disappointed to find that gratiot county graffiti culture is not as cool ",1
"214","good just on my home from work",2
"215","ok honestly if you feel uncomfortable or truly don t know please please don t drive in the snow literally just do ",-1
"216","exactly it is interesting that physios etc have decided to focus on sitting as being a driver of someon ",1
"217","weekly idol today so excited   thank goodness i am work from home today",5
"218","good looking out bro just got home from work and still piecing the slate together beal may explode on a three gamer",1
"219","my son was supposed to be born feb the latest me and my friend all preordered to play world on ",0
"220","rt   when you feel overwhelmed you can use a hard restart to find peace in your day i ve discovered ",-1
"221","work from home employees or any employees reply with a normal silly work selfie      fursuit or sona over your face is a ",1
"222","is it common courtesy to not have obnoxiously loud sex while your housemates are home especially if they work from ",-1
"223","just to wrap this up because i ve had a lot of people reach out yes the packers affect me emotionally i took off ",0
"224","as soon as it s pm i get so happy cause i know my bby will be home from work   ",2
"225","in an email the district tells families of pre k and cluster students to keep their children home from schools tom ",0
"226","i just got home from work and saw this what on earth did i miss omg",0
"227","i really wish i could work from home   ",1
"228","ann arbor is one of the top best places to live if you work from home according to and we would have to a ",3
"229","dinner will be done when rodolfo gets home from work let s just say that if im not treated like a princess for the ",2
"230","when i get home from work is always a race for me between um wine and dinner guess who wins",2
"231","the voice to text thing was somehow left on and transcribed me in a text message pretty perfectly captures my work from ho ",3
"232","note i don t know if i actually had covid because at this point it was still outside of the u s supposedly ",0
"233","very true and it can also bring good things many people with pain and or disabilities have been f ",0
"234","i ve been going into work every day for the last months because of the nature of my job so it s very weird when ",0
"235","thanks for finally calling this out it s rampant on my tl i dunno why people feel the need ",-1
"236","they get offices and everything when they could just work from home that s how    money laundering",1
"237","is it time to create a work from home solution that actually works for you from homework to conference calls ever ",2
"238","driving home from work tonight and noticed a few of these at bus stops etc propaganda at its finest bit bizarre n ",0
"239","after a work day from hell it just took me hours to get home so i am going to bed",0
"240","something people don t often mention when working from home it can be difficult to separate home from work the ac ",0
"241","there are other positions work from home part time things that pay pretty well and are more consis ",3
"242","microsoft shares surge to new high on work from home revenue boost",2
"243","just got home from work and i m waiting for my rommate to come home so that we can order dinner together",1
"244","human nature if it was more work from home you would go back to in person",1
"245","i came home and found a package from when i got home from work i love this mug so much   love you amp t ",3
"246","my brother just got home from work and my mom said  hey i made chili for dinner  and he goes  that smells like dog ",1
"247","y are showing their resilience using the app to code animations from home a special shout out to summer w ",0
"248","i m lucky to be able to work partly from home but need to research or record docs at various courthou ",2
"249","these drives home from work really get me thinkin   ",1
"250","reflecting on how in the end covid might help women home work her evolution as a leader  ",1
"251","the way camila cabello comes in and ruins the end of work from home with those nasally ass adlibs is truly tragic",-1
"252","away from the rest of the world this way the soldiers don t come in contact with infected people they do get the ",-1
"253","i had just gotten home from work and she was adamament that the first order of business was that she ",1
"254","looking to switch lanes in your career merge on over as a automotive claims adjuster hr benefits work from h ",2
"255","i told my rats that i would be home tonight but then it started snowing so i m not going home and i m gonna go righ ",0
"256","how to get a work from home online job   right now",2
"257","want to work from home   be part of us   visit our website",1
"258","see this is what happens when i start prepping dinner when i get home from work amp work on cookies i ",2
"259","",0
"260","ooooo i will listen on my ride home from work",1
"261","unfortunately due to a slight panic attack earlier in the day and then some serious work from home decor ",-2
"262","funny i was thinking the same exact thing on my home from work today lol",0
"263","legit ways moms make money from home in with limited time",-1
"264","breaking the chicago teachers union has told its members to work from home tomorrow and prepare for a strike thursday if cit ",-1
"265","i was just looking through some work emails from early march and it really is amazing how quickly things went from norm ",2
"266","make preparations for feeling a bit crummy after your nd dose of covid vaccine may even plan to take some time ",-1
"267","take a look at local authority jobs councils have adapted really well to home working generally they hav ",1
"268","what says fuck you more than loudly pounding your chest about the dangers of soci ",-1
"269","just got home from work been hard charging since am lets catch a dub going live in",0
"270","register today and learn how to set up a safe d printing environment  how different print variables can affect environmental ",1
"271","we re recruiting for   campaign manager   press amp communications officer  campaign assistant  all the roles are wor ",0
"272","i m with you there xfinity has been supporting laptops cell phones couple of tablets with its ",1
"273","for the past months many of us have been working from home i ve seen isolation affect myself and my team i m shari ",-1
"274","took home from work one of those microwaveable chef boyardee beefaroni flavour and these babies bussn you hear me",1
"275","my new equipment will be here on thursday for my nd work from home job     ",1
"276","i really be getting home from work at pm getting ready for bed   ",2
"277","girlfriend came home from work with a l bottle of whipped vodka and a pound bag of chicken tenders monday night just got interesting",2
"278","as well as strongly enforce work from home as a rule quite a lot of cos are insisting on commute",2
"279","but i ll watch kalynn when i get home from work tomorrow and that ll be nice",2
"280","register today and learn how to set up a safe d printing environment  how different print variables can affect env ",1
"281","first night checked the internet site of the theatre here after work went in days later on the way fro ",1
"282","i m working from home lmfao i have been since march i am no ",0
"283","not me about to queue this all up as i drive home from work",1
"284","how to apply for amazon work from home jobs",1
"285","i wish marty well in retirement i think we re neighbors i see him sometimes walking home from work he s not perf ",2
"286","nobody   me drivin home from work",1
"287","kids are super resilient but ours and years old miss being around other kids w ",1
"288","think i m gonna do a dem senator tier list when i get home from work only doing dems because every single republic ",1
"289","davos billionaires complain that when people work from home bosses can t coerce coworkers into policing their productiv ",-1
"290","the second part to my outfit series is now up on the blog",0
"291","our family topic when i come home from work  who needs to run with scissors when you can jaywalk with scissors ",1
"292","for bizops to work the key is to get your teams engaged and enthused about the work but in today s work from hom ",3
"293","i got a pack of from amazon for the low low amp let me telll you i haven t been the same since i wear these to ",0
"294","when i tell you this is what i ve had to deal with growing up in predominantly white spaces most of my life i m in ",0
"295","work got me a   macbook pro    to work from home and i really like that machine a lot i may buy myself ",3
"296","that work from home view is pretty nice   ",3
"297","gooooddd day thunder fans just bacc home from work here s another sumn i made when i got home",2
"298","rd week work from home    university brought back freshman students for winter qtr   ",1
"299","if i hear someone telling me again that my work is easy and that office work is easy especially when you work from home shut up",5
"300","working from home is the new norm during covid and will remain a big part of our lives after getting the right equ ",1
"301","working from home here are tips for working from home efficiently",1
"302","not a bit sensitive i work from my kitchen table while home schooling ",2
"303","hello would you like to work from the comfort of your home with your pc or mobile p ",3
"304","a small price to pay for increased work from home productivity for the professional managerial class",1
"305","hcvp director april kennedy asks for the residents to call or email her directly if they are not able to reach thei ",0
"306","i sit out in my truck or car when i get home from work or a workout and listen to jazz music for at least an hour  ",1
"307","how coworking can help you overcome work from home depression  amp  ",0
"308","came home from work to my bed made and my laundry done and folded by my sister and after the day i had it felt so ",1
"309","thats not nice i know people who had hard times from disabilities or for whatever reas ",0
"310","maybe it s a epic work cation for a company with all of the working from home this past y ",1
"311","my boyfriend hasn t come home from work yet so of course the only rational assumption is that he got into a terribl ",2
"312","truth is some are having almost no reaction to the vaccine while some are having quite a reaction co ",0
"313","save yourself from retirement heartaches switch to premium pension a pension fund administrator that makes your salar ",0
"314","is your boss spying on you working from home will be one of the long lasting global side effects of  ",0
"315","my daughter is studying in dc i haven t seen her since dec she s my only child i live alone wo ",0
"316","is your boss spying on you working from home will be one of the long lasting global side effects of ",0
"317","when we reach peak oil and the cost to drive cars becomes prohibitive the expect ",-1
"318","following with notices just got home from work lee",1
"319","forgot to mention even before covid i worked from home which is a huge accommodation in and of itself i ",1
"320","i be dying to get home from work to sleep until i get home   ",0
"321","therapy tonight time to get home from work shower put on pjs and slippers make a hot water bottle and a cup of ",2
"322","when you get home from work to play smite with your friends then servers go under maintenance       ",1
"323","as more people work from home during the crisis remote meetings have become a vital part of the workday  ",0
"324","i don t if it is just me but it seems like people do pretty well with the work from home situation the wor ",4
"325","actual footage of me driving home from work so i can finally download the new pack   ",1
"326","right back at you having little ones and trying to work from home with our school system in shambles is not always easy",2
"327","the few listed tips happen to be shown to assist you within your work from home business",1
"328","ngl i did end up waiting for my boyfriend to come home from work and make him chop it up   ",1
"329","good actor skills here    or i ll just go mia for two hours that day    saying my internet it s starting to get ",1
"330","i dont think i have it mainly cuz i dont know anyone i am in contact with that has it they ve also all ",0
"331","the first words out of my dad s mouth when he would get home from work everyday   look at this mess looks like a b ",1
"332","maybe it s a epic work cation for a company with all of the working from home this p ",1
"333","part involves moving all council meetings public hearings spcs etc to electronic participation until such time that ",0
"334","y all getting outta hand with this work from home shit this bitch really put somebody on hold and start cooking a meal         ",-1
"335","when you work from home it really be days you don t step outside at all",1
"336","work from home life",1
"337","part involves moving all council meetings public hearings spcs etc to electronic participation until such time ",0
"338","i never knew this work from home is so fun and profitable thanks elon musk mik gme ",2
"339","my man came home from work started kissing up on me and says  why you smell like my baby  like boy what else i m su ",2
"340","balancing full time work kids learning from home doing overtime then having to come home to help kids with their ",1
"341","update   mum reaches home from work amp picking up food   mummy is how i had to ask the girl how much pepper and soy ",1
"342","what a relief si dang gets to remain at home with his family amp community but much work needs to be done in making ",2
"343","maxi mind learning is for work from home children special needs coaches at h",1
"344","getting home from work like",2
"345","but props to microsoft for remaining committed to work from home when most restrictions have been lifted and re ",1
"346","i got a pack of from amazon for the low low amp let me telll you i haven t been the same since i wear ",0
"347","davos billionaires complain that when people work from home bosses can t coerce coworkers into policing their prod ",-1
"348","yooooo low key afraid to make it home from work   ",0
"349","i usually work from home and largely around my kids i do have some work out of the house i work in eve ",3
"350","as much as i think the elderly and higher risk including myself at home ",-1
"351","do you want to start your own  take a look at our guides     work from home",1
"352","falls under the  work from home unless you can t  loophole  they need props products to advertise",-1
"353","good actor skills here    or i ll just go mia for two hours that day    saying my internet it s start ",1
"354","home from work and that can only mean one thing time to smoke that amazing flower stay greened stay lifted    ",1
"355","how to work from home and earn money online gt",1
"356","small business sales play work from home offers the best in simplicity and security for work ",3
"357","i m on my way home from work",1
"358","la county rapid response will be conducting a career transition support session thursdays at p via zoom in additi ",2
"359","i m good thanks i m super tired as i ve not long gotten home from work but it s been a decent day ",3
"360","oooh i need to work from home at your house       ",1
"361","there s a shooter loose near my house so when i came home from work i called mackenzie and had her watch for me and ",0
"362","lmao why did my work from home job just send me a huge box of gifts for they virtual th birthday party        that j ",1
"363","when we first started living together christian established that when he gets home from work he likes time to hims ",2
"364","compensation for office worker who resigned after employer would not let her work from home",0
"365","all your work expenses la la la also some of home utilities if working from home list su posted d ",1
"366","web development work from home job internship at harry communication",1
"367","oh please she needs to stop i am working a full time job from home and setting my son up for his ",0
"368","it s so sad that i be late clocking in and i work from home     ",0
"369","i came home from work and ate an entire babka",1
"370","watching imposter as soon i get home from work",1
"371","bro i got home from work and slept for hrs wtf",1
"372","lafayette la usa entry level sales representative work from home career changes welcome the career chang ",2
"373","my coworker bought me a bottle of prosecco for driving her daughter home from work   ",1
"374","th me we were told to work from home from the th last year glad to have the job but barely seen a sinner since",2
"375","do you work from home but have a less than ideal set up   let s include some work from home space when we redesign ",3
"376","it s not quite finished the bit where it conn ",0
"377","good night for me and i work from home since months due to covid    but you are right we nee ",3
"378","hey will do you know if there s any work being done at doe to allocate the early votes and absentee ",0
"379","many senior leaders are over work from home  i don t think it s sustainable   barclays ceo jes staley said tuesday ",2
"380","the benefits of work from home   ",2
"381","oclock rideout time on the beat let me know what you want to hear ill put it on for you while you ",0
"382","my yo noticed that i looked exhausted when i came home from work then she cooked dinner so i didn t have to",0
"383","   being    a    mom    is    hard    work     don t let anyone tell you otherwise working moms stay at home moms work from ",1
"384","work from home perk when you go to your bedroom to change into your pjs and then realize you re still in your pjs from the night before",1
"385","i get so anxious for no reason every day before work amp once i get home im so exhausted from it i have to take a two ",-1
"386","new data today shows people in some of the lowest paid manual jobs are three times more likely to die of covid than tho ",-1
"387","i put them in the oven and started twerking because cake came on then built a wardrob ",0
"388","snippet from an fantasy custom clip caught using the work laptop at home to access porn humiliation from female ",0
"389","could covid and working from home spell the end of the business suit and tie in this article a ",0
"390","waiting for my dad to come home from work one saturday put worzel gummidge on itv wrestling followed i was ",1
"391","grant shapps faces fury over mass covid outbreak at dvla more than cases recorded employees claim people with symptom ",-3
"392","i just took the absolute best nap after i got home from work  there was a time when i felt guilty for taking a nap  ",1
"393","omd can you smell that mom ran over a skunk already dead on her way home from work and now the car smells gloriou ",-2
"394","idk why but i m really excited to clean my room when i get home from work",3
"395","dead living with a cancer survivor with no immune system job i can easily do from home but no i have to ",-1
"396","i went home from work today sick i don t have insurance hopefully it is just bronchitis covid test tomorrow i m nervous",-1
"397","me to my dog when i get home from work",1
"398","it s hard for me bc i work from home i do help get the grands out a little bit thanks for checking",0
"399","hope it makes it my idea of members of congress actually residing in your their home state is a good i ",1
"400","finally home from work catching up and i love the instrumental in wind blows",3
"401","   on             fifth harmony work from home no rap edit      listen live at ",2
"402","see ya later sweetie i have to put together my instacart order for early tomorrow morning delive ",0
"403","ok home from work settling down to watch the beautiful inside and out in series no spoilers     ",2
"404","i don t know who needs to hear this but i might be a little late home from work today jackson is really riding ou ",1
"405","people share their reality of workspace setups of working from home",0
"406","work from home is real huhuhu",1
"407","why is ottawa working on files when many are still stuck from collecting dust at vo offices w ",-2
"408","cough or sneeze in public people look at you like they want to murder you my wife was pos on th ",0
"409","yes a genuine  influencer  would work harder to create new and original content from the safe ",3
"410","i have no doubt mate our teacher is good aswell trying her hardest but the logic that teac ",0
"411","i got home from work read this and cracked open a pliny the elder screw the modelo",0
"412","creating a space for yourself is one of the most important things you can do while working from home here are d ",1
"413","between of employees experience depression as they live through the here are some thing ",-1
"414","track review and administer dynamics crm usage and find your top performing team   be it in office or work fro ",2
"415","ooh gotta rush home from work for that lol",1
"416","has been about adapting we wanted to help our employees make a smooth transition  i am grateful to be able to work from ",3
"417","i will continue this when i get home from work   ",1
