"","klasifikasi","text","score"
"89","Positif","compared to the first this one was so easy finished in an hour on my commute home from work  ",2
"90","Positif","here in northwest pa it s pouring rain amp going down to the s overnight glad i work from home",2
"91","Positif","freelance recruiter   work from home   girls   female only",1
"92","Positif","yeah i edited the game was saving bc my bf got home from work and we were gonna play some cod for ",1
"93","Positif","i dead be having a whole concert in my v omw home from work     ",0
"94","Positif","when my dad would come home from work i knew i had to get my ass up from his chair     ",1
"95","Negatif","i understand that many parents are struggling with remote learning due to their own inability to work from home and ",-1
"96","Positif","do you remember when commercial property owner s gameshow host hologram and anthropomorphic oil slick richard tice  ",1
"97","Positif","spontaneous item scavenger hunts are so great for movement breaks but simple is key i never want to impose on the par ",0
"98","Positif","when we buy products we help strengthen our economy and create jobs at home i applaud president biden s ",1
"99","Positif","it took me an hour amp a half to get home when my usual commute from work is min dallas me please",1
"100","Negatif","sick of bart entrances being closed you re not discouraging anyone from riding we re just trying to fucking get to work and home",-2
"101","Positif","continue to work from home hybrid working happy working day to you all   ",2
"102","Positif","and in the mean time there is not enough bandwidth to effectively work from home in rural areas just outside of ottawa",3
"103","Positif","why do my cats just sleep all day    like helllo i m home from work don t you miss me   ",1
"104","Positif","work from home day   ",1
"105","Positif","it s so lonely coming home from work and everyone is in bed  ",0
"106","Negatif","omd can you smell that mom ran over a skunk already dead on her way home from work and now the car smells gloriou ",-2
"107","Positif","sweeeet i get to work from home the rest of the week thank you otitis media fever and covid rules",1
"108","Positif","even when rangers were cup contenders and knicks couldn t buy a win   finding them on the radio ",1
"109","Positif","came home from work and shoveled the driveway now i m hopping in the shower stream next tweet   ",1
"110","Positif","i just got fry sauce all over my work desk why did anyone let me work from home",2
"111","Positif","how to make the return home from work even better",2
"112","Positif","during a pandemic just changed how they bill for wifi we re forced to work and do school work from home a ",2
"113","Positif","furlough money i m all right jack and many of the middle classes who voted for him will be able to w ",1
"114","Positif","did i just sob my entire way home from work maybe",0
"115","Positif","re covid vaccination teachers and admins before our grocery workers grocers have less insurance e ",0
"116","Positif","i m ready to come home from work to a home cooked meal and my babe just gotta find one",2
"117","Positif","work from home     ",1
"118","Positif","wife brought home food for kids from there last night after work i ll have to tap into one of those soon been a while",1
"119","Positif","masks are so great literally no one on the subway could tell i was bawling my fucking face off on the way home from work tonight yay",2
"120","Positif","boutta start making beats every night i get home from work just for fun",2
"121","Positif","it is exhausting and virtually impossible to work from home when your c ",0
"122","Positif","when i came home from work and then tell him myself like what bullshit is that  then she accuses me of being the a ",0
"123","Positif","i love it when it s snowing on my way home from work not   ",2
"124","Positif","my work from home posture has me like",2
"125","Positif","made intense eye contact with a girl waiting outside in line for a bar on my walk home from work do you think she f ",0
"126","Negatif","i discovered today that the saddest part about still not being able to taste and smell is that i couldn t smell my ",-2
"127","Positif","be super grateful right now to i the educators who work extra hard to educate the next generation ii the essential work ",4
"128","Positif","check out  s home work outs   ",1
"129","Positif","my company has a hiring freeze at the moment so i m waiting for that i get paid pretty damn well for bei ",0
"130","Positif","list while you work from home",1
"131","Positif","came home from work amp met my room clean amp my bf laying in my bed    ",2
"132","Positif","okokok time to go work out and then make dinner so kat can have dinner when shes home from wrok sooon",1
"133","Positif","a i ve been teaching remotely from home since march and i have recently been working on boundary setting i have ",0
"134","Positif","some of you know but some may not i made my home a few months ago and getting close to partnership   thi ",0
"135","Positif","my intro guys i am amritha from kerala actually but now got settled down in australia after marrying i came to aus f ",0
"136","Positif","i reply to all my good morning texts at night when i get home from work",2
"137","Negatif","technician just to fasten things up might be the fucking problem they are just around breaking connections so we ",-3
"138","Positif","anyway does my best friend want to get home from work already and pay fucking attention to me   ",1
"139","Positif","just got home from work and this dolph pumping me up for the gym",1
"140","Negatif","i m so exhausted after going the grocery store my anxiety is threw the roof i try ",-2
"141","Positif","i might have something like that i ll need to check on my bits box when i get home from work though",2
"142","Positif","just got home from work and yeah i ll give it a go       helping couple people out      ",2
"143","Positif","     i havent even had a chance to listen to the album yet i just got home from work",1
"144","Positif","i m so tired by the time i m back home from work that i just eat dinner bath and talk to my boyfriend for mins and sleep",0
"145","Positif","australia the tribez retweet to win food poisoning air vehicles fart okcupid work from home facebook went filet mignon c ",2
"146","Positif","i know the left leaning work from home wonks are all really proud of themselves for supporting a minimum wage in but ",3
"147","Positif","oh now it s not working to work from home mmmkay",1
"148","Positif","i get home from work around like if you want me in for the later sets",2
"149","Positif","i hope the story that the media tells today re s photo op visit to the airport is that he s launched an expensi ",0
"150","Positif","people applied to the state of hawaii s remote work program people applied to get a free trip to haw ",2
"151","Positif","fifth harmony ty dolla ign work from home feat ty dolla ign",3
"152","Positif","i brought a plant home from work bc it was  struggling  and my bf looked at our cat and said  he really brought ano ",0
"153","Negatif","why doesn t the establishment just admit that the entire lockdown was a political ploy to destroy the econ ",-2
"154","Positif","weeks eh b ",0
"155","Positif","what i don t understand is how work from home by fifth harmony didn t go number one through all of this",2
"156","Positif","got home from work saw it was and took a jog here here good sir",2
"157","Positif","first work from home now wait in line at home",1
"158","Positif","hiii and would love to hear by on i d be jamming lik ",1
"159","Positif","or be like hey here is x amount of money from this date to this date we are all quarantining noth ",1
"160","Positif","i have to work overtime again but genuinely don t have the resilience to do it at the office so work from home party tonight for me",2
"161","Positif","in other news my boyfriend is coming home from work today with my shein order   ",1
"162","Negatif","we were toking up in my friend s garage one summer afternoon in high school and everyone fell ",-1
"163","Positif","a we work from home and so does my mom so we will watch the game with her     ",1
"164","Positif","got home at about am this morning from work i get at least the next days off work with pay and a covid test n ",2
"165","Positif","your data cap is ridiculous especially during work from home we are a house of and regularly hit tb  ",0
"166","Positif","decided to pick up a booster pack on the way home from work at target i am glad i did one pack magic",3
"167","Positif","work from home data entry jobs part time jobs online jobs data entry work from home jobs typing job",2
"168","Positif","a therapist i worked with opted to continue to work after giving birth prematurely so she could save ",2
"169","Positif","between work and school guess how many assignments i got done today working from home",1
"170","Positif","how was stokoe hours late for work today when he works from home   ",2
"171","Positif","they have zero exposure they are fully paid to work from home you cannot be ",1
"172","Positif","how da fuck are you all getting vaccinated when you re all younger than me and can work from home lmao",0
"173","Positif","i seriously came home from work and decided to shovel all the parking spots in front of our town house and for what",1
"174","Positif","still available   work it x and postcard johnny ten hendery jisung group    s ten yangyang  from home taeil haechan chenle",2
"175","Positif","i thought i was going to come home from work and do chores what a joke   ",0
"176","Positif","crucially these are all things that he can achieve working from home and therefore travelling for ",0
"177","Positif","typical dems want to teach from home indefinitely and get paid full boat get the shot get back to wo ",0
"178","Positif","",0
"179","Positif","lol it was not my finest moment    thank goodness i work from home since covid the raccoon look is not ",4
"180","Negatif","went home from work early only to take a fat nap bc a bitch is  sick af ",-2
"181","Negatif","this monster graduated puppy class tonight with an a less than hours after peeing on the bed because he was ",-1
"182","Positif","y all stay home from work when it snows but don t stay away from the club in a pandemic",1
"183","Positif","my job ain t letting us work from home and i don t like that       ",2
"184","Positif","hey yall so i m building up ig so i can work from home and i have my first paid post and it s a big deal to me lol ",1
"185","Negatif","due to the impending weather newport school district will operate virtually on tuesday january students should complete ",-1
"186","Positif","work amp school from home is actually a blessing",2
"187","Positif","literally me school counselling from home was the best for that reason being back at work and commuting ",2
"188","Positif","the moon shining bright over downtown winnipeg on my way home from work today",2
"189","Positif","i m from a rural town called cala in the eastern cape i work from home due to lockdown but the bad networ ",0
"190","Positif","thank god i work sort of kinda from home family owned business so it s just a walk out to another s ",2
"191","Positif","work from home for the firstime this is firstime i experienced self quarantine after coming into close contact wi ",1
"192","Positif","coming home from work amp cooking dinner feeling like a whole assss se ora",2
"193","Positif","some of you know but some may not i made my home a few months ago and getting close to partnership  ",0
"194","Negatif","being dyslexic has never been more cruel to me looked at the clock on the computer and thought it said and i ",-1
"195","Positif","dog walks work from home pho hong with honestly a pretty perfect birthday",3
"196","Positif","oh wfh work out from home",1
"197","Positif","yeah i ll try i m working from home but still some people work at am like if i would answer the ",2
"198","Positif","same goes any work done under the sun its freaking hard to breath kalau dah work from home mana nak ras ",0
"199","Positif","big night for national city   they re hearing about a tod overlay in old town amp discussing their housing element update to ",0
"200","Positif","pot holders custom kitchen gifts kitchen linen buffalo check work from home marshmellows cooking housewarmin ",1
"201","Positif","awesome just got back home from work getting myself ready for that code   ",3
"202","Positif","me we would like to work from home my boss",2
"203","Positif","i m looking forward to presenting feb at the annual meeting hosted by my alma mater on during  ",0
"204","Negatif","agree same in uk for folk coming back from ireland unfair we re at risk from all those in ireland soc ",-1
"205","Positif","that same home now would cost years the average entry level programming wo ",0
"206","Positif","waiting for my boyfriend to get home from work when i haven t seen him in a min i get how pups feel now lol           ",1
"207","Positif","my poor mam comes home from work stressed and shattered every night working hours longer than she should trying t ",0
"208","Positif","wait until they figure out that not only can they save money by having people do the work from home and ",1
"209","Positif","if i had somewhere to run to permanent work from home etc then i d take it otherwise where are they ",1
"210","Positif","the voice to text thing was somehow left on and transcribed me in a text message pretty perfectly captures my work from ho ",3
"211","Positif","i have to go thru my shit because my wife is going to start work from home yet i cannot stop myself from checking ",0
"212","Positif","ive been doing so much better at history and english lang lit ever since we had to do work from home uh",2
"213","Positif","microsoft shares surge to new high on work from home revenue boost  ",2
"214","Positif","the solution when the pandemic lifts are local offices where work from home workers can congregate get tech supp ",1
"215","Positif","my casual typewriter is in my campus office        clearly i m failing at work from home",1
"216","Positif","be super grateful right now to i the educators who work extra hard to educate the next generation ii the essenti ",3
"217","Positif","an hour work from home with benefits amp bonuses      that s the kinda shit i like to hear      ",3
"218","Positif","one positive from the pandemic is that we got a home gym and it is ideal i can work out in silence without talking ",3
"219","Negatif","now i use other app to chat w my bf amp friends due to the anxiety if i appear online in wa especially at night   wor ",-1
"220","Positif","cw food poultry   love crockpot cooking came home from work to perfectly cooked chicken breasts added a left ",3
"221","Negatif","we need doctors nurses and caretakers to stop spreading the virus police should follow them to and ",-1
"222","Positif","that work from home life allows you to dress like the pros not a bad gig haha",2
"223","Positif","shares surge to new high on work from home revenue boost is now trending on",2
"224","Positif","finally home from work   stop by and chill",0
"225","Positif","i m glad charlie was able to get the week off from work and glad he ll be able to return next week so won t miss mu ",3
"226","Positif","because i work from home of course ima be in the house",1
"227","Negatif","imagine your dad mum coming home from work with a new strain of weed as surprise",-1
"228","Positif","s day gifts for couples who work from home together",1
"229","Positif","y all my wife would always say moms home when i got back from work so that s what my son would call me  moms home  ",1
"230","Positif","strategies for a healthy work life balance when you",2
"231","Positif","this is the answer being paraded from above after almost a full year of politicians pretending to work at ",1
"232","Positif","new bride new monogram and no one wears it better than kristel she is sporting her soon to be ne ",1
"233","Positif","i see all the fat ass mexicans named emilio from history class now work at home depot   ",0
"234","Positif","mogget is adjusting to the work from home life quite nicely why do you ask",2
"235","Positif","i m just nice and i work from home so i can t really check my tone of voice anywhere",2
"236","Positif","yes a genuine  influencer  would work harder to create new and original content from the safe ",3
"237","Negatif","it is so funny to watch the people whine i just got home from work to play and i really don t ",-1
"238","Positif","a black camaro pulled up on me today when i was drivin home from work there was like girls in this door ",2
"239","Positif","analysts expect apple to grow this year as work from home activities boost sales to mac",2
"240","Positif","just made it home from work let me start cleaning up",1
"241","Positif","everyone on ssdi should have been prioritized for vaccines before fit year olds who work from home for figures but what do i know",1
"242","Positif","it s really remarkable that got four guys from outside the picture into the usmnt in one pandemic trun ",1
"243","Positif","moral of the story if you want to become a tech billionaire don t work from your home move into your garage",1
"244","Positif","in the present day you re able to connect with so many exceptional potential buyers fascinated with your main work ",2
"245","Positif","isn t work from home great   ",2
"246","Positif","how s everybody doing working from home i ve been thinking of ways i can balance work and life while living in a s ",1
"247","Positif","these high levels of ongoing infection make the standard tools of mitigation social distancing masks and work  ",0
"248","Positif","you are modelling that the privileged can go out for nonessential reasons on a photo op trip to the airport in ",1
"249","Positif","not my car sliding all the way home from work       ",1
"250","Positif","just got home from work",1
"251","Positif","since my wife and i work from home my creative place hasn t changed in years it s taken tim ",2
"252","Positif","the hardest part about moving during this pandemic is establishing good  work from home  routine it takes a solid ",3
"253","Positif","australia the tribez retweet to win food poisoning air vehicles fart okcupid work from home facebook went filet mi ",2
"254","Positif","when i got home from work the first thing i smelled when i walked in the door was rubin cologne    just made me feel ",0
"255","Positif","i love it as long as i don t have to drive in it fill up the bird squirrel feeders make ",1
"256","Positif","my good friend who is an iranian asylum seeker has now been waiting on his  subsistence only  allowanc ",1
"257","Positif","ben bartlett serving some work from home parent on zoom realness in the",1
"258","Positif","i feel you we re in the same boat everything is closed visits are prohibited we have a curfew a ",0
"259","Positif","we homeschool and i work from home so we ve had a much easier time than most my yo daughter is re ",2
"260","Positif","yes i am lucky in a lot of ways can work from home remain employed have avoided covid but ev ",2
"261","Positif","when baby comes home from work   ",1
"262","Positif","at work  when i get home i m going to accomplish so much   home from work  i m going to accomplish half a thing   currently sips wine",4
"263","Positif","do people really come home from work and are like not greeted by a dog",2
"264","Positif","roomie gonna sleep all day tomorrow  me coming home from an exhausting day at work with eight more to go before ",1
"265","Positif","cybereason offers a new take on protecting all those work from home laptops and phones",1
"266","Positif","dear pals today i m helping my mum work from home    and i think you will all agree i m doing a really good job     paw wa ",3
"267","Positif","working from home is starting to fall apart top bankers warn financial post",0
"268","Positif","work from home admin for a homeschooling group drives hrs and gets covid vax in a county they don t live in bc  s ",1
"269","Positif","a friend of mine is a funeral home director she was saying last fall how her work was busier becaus ",0
"270","Positif","to put a fine point on it work from home and miserably try to juggle work and supervising school is going to stop being an ",2
"271","Positif","i work from home so i gotta get out the house at night most of the time",1
"272","Positif","work from home with this doggo     ",1
"273","Positif","   daughter kept me up from when i got home from work around am to am slept till noon  ",1
"274","Positif","on my way to work from home lol crosswinds tagaytay",1
"275","Positif","yakuza mom is almost done with work then i ll try to gather my thoughts into a twitlonger when i get home   i go ",1
"276","Positif","i m sorry i m late getting home from work but i had to close tabs on my computer",0
"277","Positif","orang suruh work from home korang buat le tour de langkawi   work from home is not annual leave you should alwa ",2
"278","Positif","if i could get home from work before dark that would be greattt",0
"279","Negatif","the weather service isn t making any noise about snow but this map is starting to spook me into flashbacks to the n ",-2
"280","Negatif","do whatever happens to a hospitalist when they refuse a flu vaccine i suppose   not a ",-1
"281","Positif","wife  honey please don t forget to buy bread when you re coming home from work and lest i forget your girlfriend chi ",1
"282","Positif","i have so much to get done but i have absolutely zero energy when i get home from work and it sucks",0
"283","Positif","i got a fucking raise for my work performance last year i worked full time from home while parenting a toddler ful ",1
"284","Positif","ohhhh yeah we re lucky lmao it s the best thing to get home from work make dinner and watch star wars",3
"285","Positif","hi guys do you work from home i sell tables suitable for your work station  the office table is ft by ft by in with ",3
"286","Positif","why are you metering your internet customers to tb in the middle of a global pandemic my wife and i wo ",0
"287","Positif","i only have one charger and my phone takes priority but i need music on the way home from work",1
"288","Positif","top tips to work from home",2
"289","Positif","going directly home from a long day of work driving slow as well",1
"290","Positif","na i just got home from work like an hour ago it s all gravy baby",2
"291","Positif","wow microsoft reports revenue growth hasil dari lonjakan cloud business ramai sangat ni work from home",1
"292","Positif","that s why i try to get dressed even though i work from home i almost answers door in undies a few times",1
"293","Positif","i love getting home from work only to clock in at my second job which is apparently being my kid s bitch",1
"294","Positif","what a relief si dang gets to remain at home with his family amp community but much work needs to be done in making sure si  ",2
"295","Positif","fantastic well deserved too   seeing as we all work from home it is lovely and makes you feel bet ",4
"296","Positif","slept all day and stayed home from work also ordered a new phone tracking said new phone was delivered no phone ",1
"297","Positif","tomorrow is wednesday which means i will only have more days to work from home    i m sad because i just love it here",1
"298","Positif","dudes who ve been working from home since march but still traveling across the country be like  lol i don t know ho ",1
"299","Positif","working from home has been the hardest part of transitioning to my first dev role we work on client provided compu ",1
"300","Positif","got rear ended on my drive home from work today   instead of getting pissed that is off to an awful start i  ",0
"301","Positif"," job duck is a company that hires virtual assistants to work from home full time for u s based companies     not ",1
"302","Positif","learning lessons from lockdown  and staying at home work studies  at this point i assume once net neutrality comes ",1
"303","Positif","privacy teams helped navigate the pivot to work from home",2
"304","Positif","osiel waited for me to come home from work to nap like does he not know i can t ever nap after work even when i sa ",3
"305","Positif","my mom and i usually order subs from a local shop just about every other friday i order online and grab it on my w ",0
"306","Positif","my dad used to tape it off and would watch it in the afternoon when he was off work i came home from school one d ",1
"307","Negatif","literally got home from work last night and had a serious mental breakdown woke up a new bitch amp reminded myself who i am   ",-1
"308","Negatif","today has been so shit and then i got home from work and the fucking batteries died in my thermostat so it was free ",-1
"309","Positif","also known as best work from home lunches",2
"310","Positif","a man hit on me at my job today  i work from home",1
"311","Positif","on my way home from work very different from brazil   i said i wanted to move to some place colder    i missed sn ",0
"312","Positif","a ray of hope for my friend jason williams and his family their home was destroyed in fultondale last night and they thought t ",0
"313","Negatif","comms are dire my hospital is beyond crisis we ve no beds icu s full staff off sick ambulances stacking ",-3
"314","Positif","work from home data entry work from home jobs online jobs data entry jobs part time jobs typing job",2
"315","Positif","aight i ll download it when i get home from work send me your inv",1
"316","Positif","it s pm and i m still walking home from work i crave death",0
"317","Positif","not yet i haven t made it home from work yet i m on my way now i had to stop by the drug store for ",1
"318","Positif","question does someone get a snow day off of work if they have been working from home since march",1
"319","Negatif","most people would say tools are a poor substitute for in person collaboration and are therefore seen as ",-1
"320","Positif","working from home is a solution for sma ll businesses amid covid social distancing read more  ",0
"321","Positif","excitement is brewing at interchange hq as we slowly return to the office we ve got our covid safe plan physical ",1
"322","Positif","fascinating look into how companies have embraced not just work from home but work from anywhere",3
"323","Positif","the look on my boys face when i get home from work is the best feeling ever   ",2
"324","Positif","same here ever since starting work from home",1
"325","Positif","does anyone else get home from work and just sit in a chair for what feels like hours only to realize its been like minutes",3
"326","Positif","a guide to everything you need to work from home according to product reviewers",1
"327","Positif","i just got home from work and im so tired that seeing that picture of the container of cream cheese labeled  cheam ",0
"328","Positif","from home chenle work it johnny work it ten",2
"329","Positif","i work in morris county although largely working from home since march s ",1
"330","Positif","my parents are refusing to drive me to and from work tomorrow so i have to take an uber there and and i have to tak ",0
"331","Positif","weeks of vacation time from work this year how does one take vacation time off when we work from home and can t go anywhere frik",2
"332","Positif","don t go to the pub but they re still open  stay at home but the airports are open  work f ",1
"333","Positif","it broke again on my way home from work  inhale exhale",0
"334","Positif","y all just got called back we ve been back from jan th      they won t allow us to work from home",2
"335","Negatif","back home from work showered amp in terrible pain   my manager also warned me for sitting despite the fact that i am ",-2
"336","Positif","stop thinking while i m at work of when i can come home from work just to see your bright smile that just brightens ",4
"337","Positif","my brother child amp i spend our afternoons once home from work reciting tiktok sounds amp were not ashamed",0
"338","Positif","there s a lady i know who is rich but steals food from her work whole cheeses entire bunches of bananas filling ",1
"339","Positif","work computer switched off very diffrent working from home this time",1
"340","Positif","the sun wasn t even up when you were barely roused from sleep to hawks coming home late from work per usual",1
"341","Positif","food    what should i get for dinner on the way home from work",1
"342","Positif","i actually don t feel comfortable going back to work i m ok with working from home",2
"343","Positif","i m guessing that it was probably the type of employers who think there should still be a dres ",0
"344","Positif","every time i open my bedroom room after i get home from work or lunch my computer turns on by itself and it s extremely weird",0
"345","Positif","it took me a whole ass hour to get home from work    didn t even get passed rd gear",1
"346","Positif","in didsbury today i saw the brilliant work the and emergency services are doing to defend the area from floodi ",1
"347","Positif","i have kept a really strict work life balance all through this work from home era i clock in and i clock out ha ",1
"348","Positif","oh grand i get home from work and mum s left the key in the lock and everyone s phones are off am now stuck in the garden with beers",1
"349","Positif","security startup x cloud cybereason offers a new take on protecting all those work from home laptops and phones",0
"350","Positif","i was so excited to find my box waiting for me when i got home from work as i took out the purchases  ",2
"351","Positif","sounds like in unessential work that can be done from home",2
"352","Negatif","lost work time for people working from home is an issue members of local government can t fully d ",-1
"353","Positif","while some businesses have suggested working from home indefinitely many companies will most likely choose to pursue a hybr ",0
"354","Positif","my grandkids are doing well on the surface amp hybrid schooling both parents working from hom ",1
"355","Positif","i love coming home from work to a clean cozy home my dogs always look forward to seeing me and i love getting to s ",5
"356","Positif","claims customer experience journey manager work from home allstate insurance company",1
"357","Positif","we unlocked a new work from home with your partner achievement today the significant other overheard a conversation and ask ",3
"358","Positif","absolutely love this view every time i head home from work",2
"359","Positif","im home from work now hope you re all having a good day night i ll work on videos but post tomorrow",3
"360","Positif","we can work from home",1
"361","Positif","i m torn between  i really miss snow  and   holy shit it was degrees outside when i got home from work today and that s awesome  ",1
"362","Positif","thank you the majority of her family live in multi generational households people are bringing it ",1
"363","Positif","but read the headline under s   i m and work from home i d personally be happy to give up my place in ",2
"364","Positif","cool lol mine was something that happened irl we got sent home from work bc of lockdown and was la ",2
"365","Positif","doves just hits different on the way home from work at night  ",1
"366","Positif","there s an interesting privilege dynamic playing out between the self righteous i m going to work from home because i m res ",5
"367","Positif","for those of us fortunate to work from home now is the time to refresh your work space with sturdy secondhand furn ",5
"368","Positif","mom came home from work with a cold so i quarantined her and now have to spend the next few days monitoring her sy ",0
"369","Positif","work from home but in style",1
"370","Positif","i m incredibly grateful to be able to work from home right now but the fact that we re so busy making something tha ",4
"371","Positif","mine are grown working from home here in mn with we parents out of of them at least my one ",0
